En,Nk
the forum of conscience,량심의 판단
rush forward,돌진하다
There was no way forward for the relationship,관계개선이 전혀 없었다
carriage forward,운임은 상대방부담
a forward and backward journey,왕복려행
a forward motion,전진운동
a forward march,전진
a forward march,행군
a forward march,진군
the forward march of technology,기술의 급격한 발전
The decision was a forward step,그 결정으로 한걸음 더 발전하였다
a forward child,조숙한 아이
be no further forward in,에서 진척이 없다
The work is well forward,일이 잘 진척된다
a forward crop,조기작물
a forward crop,올곡식
The crew were forward to assist,승무원들은 자진해서 도와주었다
a forward bargain,선물매매
forward planning,장래의 계획
the nasal fossa,코구멍
Appropriate praise helps a child foster a sense of selfworth,적절히 칭찬하면 아이들이 자신에 대한 긍지를 가지게 된다
foster a child,얻어온 아이를 양육하다
foster out a child,아이를 이양하다
a foul smell,악취
in the teeth of a foul wind,세찬 바람을 맞받아
a foul rope,휘감긴 바줄
a foul crime,지독한 범죄
a foul tongue,걸직한 말
The news had put him in a foul mood,그 소식을 듣고 그는 매우 불쾌하였다
The land was foul with weeds,그곳엔 잡초가 란잡하게 자랐다
be she fair or foul,곱건밉건
a foul coast,암초가 있는 해안
claim a foul,반칙이라고 주장하다
Driftwood fouled up the engine,떠내려오는 나무가지에 기관이 멎었다
a rumour without foundation,헛소문
a rumour without foundation,근거없는 소문
the Carnegie Foundation,카네기재단
well founded reports,근거가 확실한 보도
the fountainhead of knowledge,지식의 근원
within the four seas,영국본령토내에
a fourstar admiral,해군대장
a fourway valve,사방변
not care a fouter,조금도 상관없다
keep fowls,닭을 기르다
wild fowl,들새 들오리
sea fowl,바다새
Behold the fowls of the air,하늘의 새를 보라
an old fox,로련하고 교활한 사람
fox and geese,여우와 거위놀이
a fractional expression,분수식
fractional numbers,분수
a fractural injury,좌상
suffer a fracture,뼈가 부러지다
fragile happiness,덧없는 행복
in fragments,단편적으로
in fragments,파편이 되여
fragmental rocks,쇄설암
a window frame,창틀
the frame of government,정치기구
be in the frame for,적임이다
be in the frame for,자격이 있다
be in the frame for,주의관심의 중심이다
be out of the frame,적임이 아니다
be out of the frame,주의관심의 중심에서 벗어나다
be out of the frame,자격이 없다
frame of mind,사고방식
frame of mind,기분
frame a picture,그림을 액틀에 넣다
be framed,흉계에 빠지다
be framed,무고한 죄를 뒤집어쓰다
He frames well in speaking,연설가로 유망하다
the framework of a building,건물의 골조
the framework of law,법의 구성
league,가 주는 직업팀소유권
to be frank with you,실은
to be frank with you,솔직히 말하면
show frank distaste,로골적인 혐오를 보이다
frank a letter,봉투에 무료배달의 서명을 하다
with frantic haste,몹시 서둘러
wine frappe,차게 한 포도술
the angling fraternity,낚시군동료들
fratricidal war,동족상쟁
get money by fraud,돈을 사취하다
commit a fraud,사기행위를 하다
election frauds,선거위반
in fraud of to the fraud of,에게 사기수단을 쓰기 위하여
be worn to a frazzle,지쳐서 기진맥진하다
Federal Reserve Bank,련방준비은행
by some freak of fate,운명의 희롱으로
a film freak,영화광
out of mere freak,일시적기분에서
a freak of nature,자연의 조화 기형
a freak copy of a book,진기한 책
freak freely,마약없이 환각을 체험하다
a free action,자유행동
We are now on free time,근무외 시간이다
He is too free with her,그는 그 녀자와 너무 허물없이 지낸다
of with,통이 큰
free admission,무료입장
a free competition,자유경쟁
a free table,빈 식탁
a free taxi,빈 택시
I am free of this library,이 서고에 자유로이 드나들수 있다
free of charge,무료로
a man free from worry,걱정이 없는 사람
a night free from wind,바람없는 밤
free imports,무관세수입품
the germ free air,무균공기
free acids,유리산
for free,거저
for free,무료로
a free moving machine,자행식기계
All members admitted free,회원은 무료입장
sail free,돛을 활짝 펴지 않고 달리다
run free,순풍을 받으며 달리다
fall free,자유락하를 하다
free the mind from anxiety,마음에서 불안을 없애다
from of,로부터 풀어주다
free teachers to concentrate on teaching,교원들이 교수에 집중하도록 시간을 보장하다
for up,여유를 마련하다
free some money for investment,투자를 위한 자금을 마련하다
freebase,피우다
freebase,를 들이쉬다
the freedom of the will,의사의 자유
freedom in actions,행동의 자유
have the freedom of a friends house,동무의 집에 자유롭게 출입하다
the freedom of the city,명예시민권
freefall,자유락하하다
freefall,급히 떨어지다
a freefloating fear,명백한 원인이 없는 공포
give free rein to ab,를 자유로이 하게 하다
Maryland,주의 별칭
It froze hard last night,어제밤에 꽁꽁 얼어붙었다
"He drove on, freezing to the wheel",그는 운전대를 꽉 쥔채 차를 몰아갔다
freeze to death,얼어죽다
The smile froze his lips,입술에 지었던 미소가 갑자기 사라졌다
At the noise he froze in his tracks,소리를 듣자 그는 무의식중에 그 자리에 굳어졌다
The piston has frozen in the cylinder,피스톤이 기통안에서 움직이지 않게 되였다
Fear frozen him to the steering wheel,두려움으로 하여 저도 모르게 그는 운전대를 꽉 그러잡았다
I just stood frozen with horror,공포로 하여 그는 쭉 굳어져버렸다
a price freeze,물가의 동결
freight forward,운임선불
freight free,운임무료로
freight paid,운임지불함
freight prepaid advanced freight,운임선불함
Each word was freighted with anger,매 말마디마다 분노가 어리였다
freight goods to,화물을 에로 실어내다
ton,용적톤
Excuse my French Pardon my French,이렇게 말을 해서 실례했습니다
ice cream,크림과 닭알 노란자위로 만든 진한
take French leave,무단으로 결근하다
pie,프랑스식
frenzied rage,격노
frenzied applause,열광적인 박수갈채
the frequency of earthquakes,빈번한 지진
a frequent customer,늘 오는 손님
frequent the society of,와 자주 만나다
frequent Shakespeare,쉑스피어작품을 자주 읽다
the frequentative aspect,반복태
fresh footprints,새로운 발자국
a boy fresh from school,학교를 갓 졸업한 소년
fresh fish,생선
feel fresh after a good nights sleep,하루밤 푹 잔 다음이여서 원기왕성하다
fresh paint,방금 바른 뼁끼
The accident was still fresh in her mind,그 사건은 그 녀자의 기억속에 아직도 생생히 남아있었다
throw fresh light on a subject,문제를 새롭게 해명하다
a fresh recruit,신병
a fresh hand,새로운 사람
a fresh hand,풋내기
fresh butter,생빠다
fresh butter,무염빠다
Dont be fresh,건방진 소리 말라
a fresh laid egg,방금 낳은 닭알
in the fresh of the morning,아침 일찍
in the fresh of the morning,이른 아침 상쾌한 때에
a freshwater college,시골대학
fret and fume,노발대발하다
a heart fretted by care and anxiety,근심걱정으로 괴로운 마음
fricative consonants,스침자음
fried eggs,기름에 튀긴 닭알
a friend of mine,나의 동무
make friends again,화해하다
make friends with,와 사이좋게 지내다
A friend in need is a friend indeed,진정한 벗은 어려울 때 안다
a friendly nation,우방
a friendly nation,우호적인 나라
They were all very friendly to us,모두 우리에게 매우 친절하였다
friendly showers,약비
in a fright,깜짝 놀라서
in a fright,가슴이 덜컥 내려앉아서
look a fright,괴죄죄하다
look a fright,지저분하다
be frightened to death,겁에 질려 죽을번하다
frightful atrocities,소름이 끼치는 만행
a frightful bore,진절머리나게 갑갑한 사람
frigid weather,맵짜게 추운 날씨
a frigid look,랭담한 표정
a common with a fringe of trees,주변에 나무가 있는 공유지
a fringe of beard on the chin,턱언저리에 난 수염
the mere fringe of philosophy,철학의 피상적인 지식
on the fritz,고장이 나서
on the fritz,수리할 필요가 있는
on the fritz,잘 돌아가지 않아
frivolous complaints,사소한 불평
frock,에게 를 입히다
leap from a seat,자리에서 벌떡 일어서다
from end to end,죄다
from end to end,끝에서 끝까지
from beginning to end,처음부터 끝까지
from beginning to end,시종일관
from beginning to end,쭉
from hour to hour,시시각각
from hour to hour,시시로
go from bad to worse,더욱더 나빠지다
be absent from school,학교에 결석하다
I differ from him in opinion,그와는 의견이 다르다
be expelled from school,퇴학당하다
die from fatigue,지쳐서 죽다
make wine from grapes,포도로 포도술 을 만들다
from afar,먼곳에서
from long ago,오래전부터
enter from outside,밖에서 들어오다
from over the sea,해외로부터
from under the table,식탁밑으로부터
the front of a building,건물의 정면
front to front,얼굴을 맞대고
a calm front,침착한 태도
present a united front,같은 태도를 취하다
maintain a front,체면을 유지하다
have the front to do,뻔뻔스럽게도 하다
progress on the educational front,교육부문에서의 전진
a change of front,정책변경
a change of front,방향전환
the western front,서부전선
change front,방향을 바꾸다 방침을 바꾸다
in front,앞에
in front,전방에
Please go in front,먼저 가주시오
The car in front stopped suddenly,앞선 차가 갑자기 멈추어섰다
a front seat,앞좌석
the front hall,현관의 홀
a front tooth,앞이
take a front seat,중요한 지위를 차지하다
be beset front and rear,앞뒤로 습격당하다
a house fronted with brick,정면이 벽돌로 된 집
frontal zone,전선대
frontier research in the field,그 분야에서의 선구적연구
a frontrank world power,세계의 주요강국
frost damage,서리피해
There was a heavy frost,서리가 많이 내렸다
degrees of frost,얼음점이하의 온도
over up,얼다
over up,서리로 덮이다
frosted glass,흐린유리
ice cream,우유향료 등을 섞어 만든 진한 음료
the frosty years of life,로령
the froth on a glass of beer,맥주잔의 거품
froth at the mouth,몹시 성을 내다
froth at the mouth,입에 거품을 물다
wear a deep frown,몹시 언짢은 얼굴을 하고있다
the frozen zones,한대
a frugal supper,검소한 저녁식사
live in frugality,소박하게 살다
the flesh fruit,살진 열매
in fruit,열매를 맺은
This tree fruits annually,이 나무는 해마다 열매를 맺는다
a fruitful vine,열매를 잘 맺는 덩굴식물 아이 많은 녀자
a fruitful rain,약비
a fruitful occupation,실수입이 많은 직업
a fruitless attempt,헛된 시도
fruity wine,포도냄새가 강한 포도술
a frustum of cone,원추대
fry up the cold food,식은 료리를 다시 덥히다
out of the frying pan into the fire,형세가 더욱 악화되여
out of the frying pan into the fire,작은 곤난을 면하려다가 도리여 큰 곤난을 당하여
FTP,에 의해 전송할 파일을 저장하고있는 인터네트포스트써버
damn,등 대신에 쓰는 강조어
What the fuck is it,도대체 그게 뭐냐
Its got fuck all to do with,너와 전혀 상관없는 일이다
on the fuddle,술을 많이 마셔
He tried to fudge the issue by saying that he did not want to specify periods,그는 기한을 밝히고싶지 않다고 하면서 그 문제를 회피하려고 하였다
along,천천히 가다
nuclear fuel,핵연료
add fuel to the fire add fuel to the flames,붙는 불에 키질하다
fuel the fire,불에 연료를 넣다
a fuelefficient car,연료절약형자동차
a fugitive soldier,탈주병
fugitive flowers,인차 시드는 꽃
fugitive flowers,속절없이 지는 꽃
fugitive essays,그때그때 쓴 수필
be full up,가득하다
be full up,꽉 차있다
a glass full to the brim,찰찰 넘치게 부어놓은 잔
a full heart,벅찬 마음
a full figure,좋은 풍채
in full sail,돛에 바람을 가득 받고
full membership,정회원의 자격
full strength,전력
full vigour,원기왕성
a full gale,최강풍
full of years and honours,제명을 다 살고 영예도 한껏 지닌
a full close,완전종지
a full base,만진
be in full cry,비난하다
be in full cry,혹평하다
full of years,장수하여
full of years,오래 살아
The blow struck him full in the face,그는 면바로 얼굴을 맞았다
full as useful as,와 꼭같이 쓸모있는
full many a flower,정말 많은 꽃
The chair is full high,걸상이 너무 높다
full and by,돛에 바람을 잔뜩 받으면서 될수록 배가 바람을 옆으로 받도록
full on,최대로
full on,최고로
have the heater full on,전열기를 고단에 넣다
The recession has hit them full on,경제공황은 그들에게 직접적인 타격을 주었다
full out,전속력으로
at the full,한창때에
at the full,절정에
in full,전부
in full,전액
a receipt in full,전액령수증
payment in full,전액지불
be on full beam,원거리등을 켜고있다
a fullbodied novel,내용이 풍부한 소설
a fullbore rightist,철저한 우파
a fulldress rehearsal,정식무대연습
in full dress uniform,정복차림으로
in full face,마주하여
in full face,정면으로
fullface mugshot,얼굴정면사진
fullfrontal nudity,완전라체
a fullfrontal assault,가차없는 공격
a fulllength portrait,전신초상화
a feeling of fullness after meals,식후의 배부른 감
in its fullness,충분히
in its fullness,남김없이
a great fullness of face,복스러운 얼굴
the fullness of time,예정한 때
the fullness of time,그럴만한 시기
in the fullness of time,때가 되여
in the fullness of time,예정한 때에
a fullscale war,전면전쟁
at full speed,전속력으로
come to a full stop,완전히 끝나다
put a full stop to,에 종지부를 찍다
be in full swing,최고조를 맞이하다
be in full swing,전성기에 이르다
at full term,만삭이 되여
go to full term,만삭이 되다
a fulltime teacher,전임교원
fulltime wages,정시간로동에 대한 임금
be employed fulltime,전임으로 고용되다
fully paidup,전액을 이미 치른
a fullyfledged pilot,당당한 비행사
fulminating powder,화학
a fulminating cap,뢰관
factory fumes,공장의 내굴안개
car fumes,자동차의 배기가스
fumes of wine,술의 독기
be in a fume,노기등등하다
be in a fume,잔뜩 화나있다
"fret, fuss and fume",안달복달 약오르다
He is fond of fun,장난질을 좋아하는 사람이다
She is full of her fun,언제나 무엇인가 즐기고있다
Its no fun at all,조금도 즐겁지 않다
read a book for fun,책을 흥미본위로 읽다
teaching isn't all fun and games,교육은 놀음놀이가 아니다
in fun,장난으로
in fun,롱으로
in fun,재미삼아
have fun with,즐기다
have fun with,재미있게 놀다
make fun of,조롱하다
poke fun at,을 놀려주다
not much fun,불쾌한
not a lot of fun,싫은
What fun,정말 재미있군
a school fun day,학교운동회날
he's a really fun person to be around,그는 정말 재미난 사람이다
the function of education,교육의 본래목적
the function of the stomach,위의 작용
a social function,사교적모임
the theory of functions,함수론
a functional organ,기능기관
a functional disease,기능성질병
a functional symbol,함수기호
a public functionary,공무원
a petty functionary,하급관리
a reserve fund,적립금
a relief fund,구제자금
set up a fund,자금을 마련하다
funds in hand,수중에 있는 돈
We have a fund of stories about his boyhood,우리는 그의 어린시절에 대한 많은 이야기들을 알고있다
fundamental colours,원색
fundamental numbers,기본수
fundamentals in sculpturing,조각의 기본
a state funeral,국장
an official funeral,사회장
Its not my funeral,그건 내가 알바가 아니다
funereal garments,상복
a funicular railway,삭도철도
in a funk of,이 무서워서
in a funk of,에 겁이 나서
be in a funk,무서워 떨고있다
be in a funk,겁을 집어먹고있다
funk a difficulty,곤난을 앞에 두고 뒤걸음질치다
funnily enough,묘하게도
It is funny that,은 이상하다
a funny way to behave,이상한 행동
She is a bit funny in the head,머리가 좀 이상하다
a funny column,만화란
make a funny,롱담을 하다
the fur will fly,말썽이 생기다
flounces and furbelows,지나치게 야한 장식
fket fr,두갈래로 되다
a furious sea,풍랑사나운 바다
furious activity,맹렬한 활동
at a furious pace,맹렬한 속도로
furl in a body,가로돛천의 처진 부분을 가운데로 모아접다
be tried in the furnace,엄혹한 시련을 겪다
She was able to furnish me with details of the incident,그 녀자는 그 사건의 구체적사실을 나에게 제공할수 있었다
The room was luxuriously furnished,그 방에는 사치한 가구들이 비치되여있었다
a well furnished shop,재고량이 풍부한 상점
mens furnishings,남자옷장식품
kitchen furniture,부엌세간
the furniture of a bookshelf,책
furore scribendi,집필광
furore loquendi,연설광
go further away,더 앞으로 가다
further on,훨씬 앞에서
further on,보다 앞으로 나아가서
Nothing was further from our thoughts,그런 일은 꿈에도 생각못했다
on the further side of the road,길 저편에
the further stage of development,더 발전한 단계
the furthest ends of the earth,지구의 제일 막바지
It was the furthest thing from my mind,그것을 전혀 리해할수가 없었다
at the furthest,가장 멀리 제일 많아서
It was the furthest North he had reached,그곳은 그가 북쪽으로 가장 멀리 도달한 지점이였다
Prices have fallen furthest,가격이 최하로 떨어졌다
a furtive manner,수상한 태도
fly into a fury,노발대발하다
the fury of the waves,노호하는 파도
like fury,신속히
like fury,재빠르게
like fury,맹렬히
on a short fuse,격하기 잘하는
on a short fuse,성을 내기 쉬운
have a short fuse,걸핏하면 화를 내다
light the fuse light a fuse,도화선에 불을 달다 정세를 긴장시키다
metals in fusion,용해된 금속
the point of fusion,녹음점
the heat of fusion,융해열
melting point,물리화학
get into a fuss,안달복달하다
make a great fuss about nothing,쓸데없이 떠들어대다
make a great fuss about nothing,공연한 일에 법석하다
Dont fuss over the children so much,애들 일로 그렇게 법석 떠들지 말라
Dont fuss your head about it,그까짓 일에 신경을 쓰지 말라
a fussy old lady,잔소리가 많은 할머니
be not fussy,상관하지 않다
be not fussy,개의치 않다
a fustian rascal,불량배
a futile attempt,헛된 시도
futile talk,공담
futile talk,잡담
a futile sort of person,경박한 사람
You cannot tell the future,앞으로의 일은 모른다
no matter what the future holds,앞으로 무슨 일이 벌어지든지간에
have a bright future before one,전도가 매우 유망하다
in future,지금부터
in future,앞으로
future events,앞으로 있을 사건
future generations of men,후대의 사람들
a future life,래세
a future life,저승
He gabs too much,너무 말이 많다
You gabble me crazy,네가 너무도 재잘거려서 머리가 돌지경이다
on the gad upon the gad,싸다니면서
kitchen gadgetry,부엌세간
gaff sail,하나 또는 그 이상의 을 단
gaff,에 단 세로돛
in gage of,의 저당으로
the gaggle of reporters and photographers that dogged his every step,"걸음마다 그를 뒤쫓는 기자, 사진기자들의 무질서한 무리"
I could hear her gaily singing in her bedroom,나는 그가 자기 침실에서 명랑하게 노래를 부르는것을 들을수 있었다
They gaily went on talking after the film had started,그들은 영화가 시작된 후에도 아무 생각없이 계속 이야기를 나누었다
gaily coloured tropical birds,화려한 색갈의 열대지방 새들
the performance which gained her an international reputation as a soprano,그에게 독창가수로서의 국제적명성을 얻게 하여준 공연
The thieves gained entrance through an upstairs window that was left open,도적들은 열려진 웃층창문을 통해서 입구에 다달았다
gain speed,점점 속도를 높이다
She had gradually gained weight since her wedding,그 녀자는 결혼후 점점 몸무게가 늘었다
gain in popularity,인기가 높아지다
gain in fame,명성을 높이다
The minister was sacked for abusing power for his personal gain,상은 사리를 위해 권력을 람용한것으로 하여 해고되였다
Eating too many fatty foods could cause weight gain,지방이 많은 음식을 지나치게 많이 먹으면 몸무게가 늘어날수 있다
No gains without pains,부뚜막의 소금도 집어넣어야 짜다
No gains without pains,수고없이는 소득이 없다
There is no gainsaying his genius,그가 수재라는것을 부정할수 없다
certainly there's no gainsaying the technical brilliance of his performance,그가 공연에서 보여준 기량에 대하여서는 론박할 여지가 없다
He walked with a slow stiff gait,그는 뻣뻣한 걸음새로 천천히 걸었다
Cyclops Polyphemus Acis,가 사랑에 빠져 자기 경쟁자인 를 죽이게 한 바다의 요정
Pygmalion Pygmalion Aphrodite,이 만든 상아로 된 처녀상 은 이 상에 반하여 에게 청해서 생명을 받아 안해로 삼았다고 함
a galaxy of boundless young talent,총명한 젊은이들의 모임
a gale of wind,한바탕 세게 부는 바람
have the gall to do,뻔뻔스럽게도 하다
as bitter as gall,쓰디쓴
knock galleywest,호되게 혼내주다
I love milk I drink gallons of the stuff,나는 우유를 좋아해서 많이 마신다
At the sound of gunfire the horse suddenly broke into a gallop,총소리에 갑자기 말이 네굽을 놓았다
go for a gallop,빠른 걸음으로 떠나가다
at a gallop,모두뜀으로
We had to complete the work at a gallop,우리는 서둘러 일을 끝내야 하였다
The horse galloped at full speed,말은 전속력으로 질주했다
Tom galloped through all his heats,톰은 모든 예선경기들을 별로 힘들이지 않고 이겼다
cheat the gallows,교수형을 이럭저럭 모면하다
food and drink galore,많은 음식
with beef and ale galore,술과 안주를 상다리 부러지게 차려놓고
gamble at cards,주패로 노름을 하다
on the gamble,노름에 정신이 팔려
take a gamblers chance,죽든살든 한번 해보다
What a game,참 재미있군
a drawn game,비긴 경기
have a game of play,한경기하다
Tom is playing golf every day to try to improve her game,톰은 자기의 경기수준을 높이기 위해 매일 골프경기를 한다
toys and games,장난감이나 놀이감류
play computer games,콤퓨터오락을 하다
the stock market game,주식매매업
get into the game,일에 착수하다
be in the political game,정치에 관계하고있다
the same old game,여전히 같은 수
play a deep game,음흉한 계략을 꾸미다
play a double game,안팎이 다른 수를 쓰다
winged game,사냥감새류
a game not worth the candle,수지가 맞지 않는 일
ahead of the game,승리할 기회를 틀어쥐고 유리하게
game over,끝장이다
game over,끝이다
Dont make a game of me any longer,더는 놀리지 말라
on the game,매춘부로 종사하는
play games,아무렇게나 하다
play games,무책임한짓을 하다
play the game,정정당당하게 시합을 하다 공명정대하게 행동하다
Whats your game Whats the game,무슨 일이야 뭘하고있니
die game,용감히 싸우다 죽다 마지막까지 분투하다
the whole gamut of crime,온갖 종류의 범죄
experience the gamut of emotions,오만가지 감정을 맛보다
run the gamut,의 모든 분야를 다 체험하다
run the gamut of dissipation,온갖 방탕한 짓을 다하다
Ghent,의 프랑스어이름
a gang of armed robbers,무장한 강도단
armed gangs,무장악당들
together,단체로 행동하다
together,떼를 짓다
Ganges,의 힌두어이름
like gangbusters,매우 활기있게
like gangbusters,높은 속도로
like gangbusters,대성공적으로
gangster,의 녀성형
A gangway please,길을 내주시오
She has a small gap between her front teeth,그는 앞이사이에 작은 틈이 있다
a sex gap,남녀차이
the gap between rich and poor,빈부의 격차
bridge the gap between town and country,도시와 농촌간의 차이를 없애다
There are many gaps in our understanding of what happened,발생한 일에 대한 우리들의 리해에는 큰 차이가 있다
He stood gaping at the sight,그 광경을 어안이 벙벙하여 바라보며 서있었다
I could only gape in astonishment as I saw the man take the bottle from the shelf and put it under his coat,난 그 사람이 병을 당반에서 내리워 품속에 넣는것을 깜짝 놀라 멍하니 보기만 하였다
have the gapes,자꾸 하품하다
Did you put the car in the garage,차를 차고에 넣었습니까
The cars still at the garage getting fixed,그 차는 아직 수리소에서 수리중에 있다
green surgical garb,푸른 수술복
Can you take out the garbage when you go,나갈 때 오물 좀 버려주겠니
He talked a lot of garbage about pollution,그는 환경오염에 대해서 시시껄렁한 소리를 잔뜩 늘여놓았다
garble instructions,지시사항을 잘못 리해하다
I got a garbled set of directions,나는 잘못된 지시를 받았다
garden tools,정원가꾸는 도구
Our house has a small garden,우리 집에는 작은 정원이 하나 있다
the botanical gardens,식물원
Burlington garden,벌링톤거리
the Garden of Europe,이딸리아의 다른 이름
the Garden of the Gods Colorado Springs,미국 시부근의 기암이 많은 사암지대
the Garden of the West Kansas,미국 주의 다른 이름
New Jersey,미국 주의 속칭
a gargantuan appetite,굉장한 식욕
He had gargled with alcohol for toothache,그는 이발이 아파서 술을 한입 물고 꼴록꼴록하였다
a garish necktie,울긋불긋한 넥타이
a garland of white roses,흰장미꽃목걸이
They garlanded the visitors with scented flowers,그들은 참관자들에게 향기로운 꽃목걸이를 걸어주었다
The tree was garlanded with strings of coloured lights,나무는 꽃불들로 장식되였다
Communism Peak,따쥐끼스딴에 있는 의 이전이름
The crop was ready to be reaped and garnered,낟알을 거두어 보관해둘 준비가 되여있다
swept and garnished,말끔히 쓸고 곱게 장식한
garnish a room with flowers,꽃으로 방을 장식하다
Garnish the dish with parsley before serving,접대하기전에 미나리로 고명을 하게
The state began garnishing my wages to pay for the parking tickets,난 주차금지벌금딱지때문에 로임이 잘리기 시작했어
Serve the fish with a garnish of lemon,물고기는 레몬을 곁들여서 대접하게
They used to go to a garret and paint,그들은 다락에 올라가 그림을 그리군 한다
a garrison district,위수지구
the commander of a garrison the garrison commander,위수사령관
in garrison,수비를 맡고
a king needed to garrison that castle,그 성의 수비를 맡길 왕
Our regiment will garrison the town,우리 련대가 도시를 방어할것이요
on garrison duty,수비임무를 맡고
Her garter were down to her ankles,그 녀자의 양말대님이 발목까지 내려왔다
Baldwin became an earl and a knight of the garter,볼드윈은 백작이 되여 가터훈작사칭호를 받았다
"Oxygen, hydrogen and nitrogen are all gases","산소, 수소, 질소는 다 기체이다"
a gas tankpump,연료탕크
a gas fired power station,가스발전소
turn down the gas,가스등의 불을 가늘게 하다
i'll stop and get some gas were running low,"차를 세우고 연료를 넣어야겠네, 거의 다 나갔으니까"
a leak in the gas mains,가스관에서의 루출
be out of gas,휘발유가 떨어지다
"Some kids put on a show for the moms and dads, it was a gas","아이들이 부모들을 위해 공연을 했지, 굉장했다네"
Susan came round and we sat gassing for hours,수잔이 와서 우리는 몇시간동안 앉아 잡담을 했다
a gascooled reactor,가스랭각로
blow a gasket gasket,가 새다
The next morning we found the aircraft had blown a gasket,다음날 아침 우리는 비행기파킹이 새는것을 발견하였다
lie like a gas meter,터무니없는 거짓말을 하다
gasp in horror,무서워서 숨이 막히다
They gasped at the splendour of the costumes,그들은 의상들의 화려함에 숨이 막힐 지경이였다
gasp out a few words,헐떡거리며 몇마디 말하다
"Brand climbed slowly, gasping for breath",브랜드는 헐떡거리면서 천천히 기여올랐다
gasp up,림종하다
give a gasp of surprise,깜짝 놀라 숨을 죽이다
at onesthe last gasp,죽을 림박에
at onesthe last gasp,림종때에
a gasproof mask,방독면
That story you wrote for me is a gasser,네가 내게 써보낸 그 이야기는 인상적이던데
This beer is really gassy,이 맥주는 정말 가스가 많군
the front gate,정문
the front gate,대문
enter at a gate,대문으로 들어가다
open a gate to for,기회를 주다
open a gate to for,에게 길을 터주다
break gates,문닫는 시간이 지나서 돌아오다
get the gate be given the gate,해고되다
Londons Heathrow Airport is the dominant gateway in Europe,런던의 히스러우비행장은 유럽의 기본관문이다
We gathered our things together and left quickly,우리는 짐을 꾸려가지고 냉큼 떠나갔다
She gathered up the newspapers that were scattered around the floor,그 녀자는 바닥에 널려진 신문지들을 주어모았다
gather information,정보를 수집하다
She gathered the children up and hurried into the house,그 녀는 아이들을 껴안고 황황히 집안으로 들어갔다
The skirt is gathered at the waist,그 치마는 허리에 주름을 잡았다
Moira gathered her skirts round her and climbed the steps,모이라는 치마를 말아올리고 계단을 올라갔다
"You two know each other, I gather",내 생각에는 당신들은 둘 다 서로 아는것같은데
i didn't gather much from his lecture,그의 강의를 받고는 리해안되는 점이 많았다
gather speed,속도를 늘이다
Gather round all of you,모두 모엿
Evening dusk gathers,땅거미가 점점 짙어간다
Wrinkles have gathered about his eyes,그의 눈언저리에 주름살이 졌다
gather colour,혈색이 좋아지다
gather flesh,살이 붙다
a social gathering,사교적모임
a social gathering,친목회
a large gathering of war veterans,전쟁로병들의 회합
It was quite a small gathering but the speeches were excellent,모임의 규모는 작았지만 연설들은 훌륭했다
I was ridiculed for my sartorial gaucherie,나는 재봉솜씨가 서툴러서 웃음거리가 되였다
gaudy jewelry,번쩍거리는 보석
a gaudy neon lamp,현란한 네온등
i didn't like the decorations they looked rather gaudy,난 그 장식이 마음에 들지 않는다 그것은 지나치게 사치해보였다
an oil pressure gauge,유압계
The tests will give parents a gauge of how their children are doing,이 시험결과가 부모들에게 자기 아이들가 어떻게 공부하고있는가를 알려줄것이다
a narrow gauge railway,협궤철길
a standard gauge railway,표준철길너비
have the weather gauge of,바람이 불어오는쪽에 있다
take the gauge of,평가하다
take the gauge of,을 재다
gauge the velocity of the wind,바람속도를 재다
She was unable to gauge his mood,그 녀자는 그의 기분상태를 종잡기 어려웠다
The thermostat will gauge the temperature and control the heat,항온기가 온도를 재서 열을 조절할것이다
be gaunt from hunger,굶어서 수척하다
Her face was gaunt and grey,그 녀자의 얼굴은 여위고 창백했다
The house looked gaunt and unwelcoming,그 집은 음산하고 썩 달가와하지 않는듯했다
The foreign secretary ran the gauntlet of demonstrators,외무상은 시위자들의 비난을 받았다
Buddha,의 성
a gauze skirt,얇은 명주치마
They covered the tubes with wire gauze,그들은 관들을 얇은 쇠그물로 감았다
a piece of sterile gauze,소독가제
a gauzy mist,엷은 안개
She felt excited and quite gay,그 녀자는 흥분되고 아주 즐거운듯 했다
The streets were gay and full of people,거리들은 화려하게 장식되였고 사람들로 가득 찼다
AIDS,의 별칭
gaze into the sky,하늘을 바라보다
gaze into the space,허공을 쳐다보다
gaze out of the window,창밖을 물끄러미 내다보다
he didn't dare to meet her gaze,그는 감히 그 녀자를 마주보지 못하였다
gazillion s of books,대단히 많은 책
global ballistic missile defence,군사 전역탄도미싸일방위
Greenwich Civil Time,그리니치상용시간
gross domestic product,국내총생산액
a reverse gear,후단변속
get into gear,전동장치가 걸리다
throw out of gear,의 전동장치를 떼다
get out of gear,전동장치가 벗어지다
the landing gear of a plane,비행기의 착륙장치
Well need camping gear when we go away,멀리 갈 때에는 야영용품이 필요해
police in riot gear,보호복을 입은 경찰
Bring your rain gear,네 비옷을 가져와
in gear,전동장치가 이어져
out of gear,전동장치가 벗겨져
slip a gear,실수하다
slip a gear,잘못을 저지르다
step up a gear move up a gear,높은 단 변속을 하다
"After a disappointing first half, United moved up a gear and took control of the game",전반전을 한심하게 치른 유나이티드팀은 마력을 내여 경기주도권을 틀어쥐였다
throw out of gear,원활하지 못하게 하다
throw out of gear,변속을 풀다 운전을 방해하다
